,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,21210,FP05,,,,,107.00 CS,,,,,,,,107.00 CS
Total Inventory Qty,21210,FP07,340.00 CS,263.00 CS,168.00 CS,373.00 CS,312.00 CS,"1,207.00 CS","1,064.00 CS",722.00 CS,499.00 CS,451.00 CS,333.00 CS,262.00 CS,"5,994.00 CS"
Total Inventory Qty,21210,FP13,"1,757.00 CS","2,012.00 CS","1,371.00 CS","1,021.00 CS","2,328.00 CS","1,216.00 CS",986.00 CS,980.00 CS,769.00 CS,784.00 CS,737.00 CS,378.00 CS,"14,339.00 CS"
Total Inventory Qty,21231,FP03,0.25 CS,0.25 CS,0.92 CS,1.75 CS,1.75 CS,1.67 CS,1.33 CS,1.33 CS,1.33 CS,0.25 CS,2.25 CS,2.17 CS,15.25 CS
Total Inventory Qty,21231,FP07,"2,084.00 CS",392.00 CS,"1,752.00 CS","1,200.00 CS","2,599.00 CS","1,108.00 CS","2,622.00 CS","1,846.00 CS","2,139.00 CS","2,859.00 CS","4,982.00 CS","3,497.00 CS","27,080.00 CS"
Total Inventory Qty,21231,FP13,"8,199.00 CS","4,380.00 CS","2,968.00 CS","5,543.00 CS","6,009.00 CS","3,248.00 CS","5,608.00 CS","2,103.00 CS","4,682.00 CS","8,173.00 CS","3,237.00 CS","10,994.00 CS","65,144.00 CS"
Total Inventory Qty,21430,FP07,,,,,,,"4,767.00 CS","13,079.00 CS","29,260.00 CS","26,451.00 CS","30,651.00 CS","19,728.00 CS","1,23,936.00 CS"
Total Inventory Qty,21430,FP13,,,,,,,,"3,543.00 CS","13,619.00 CS","8,579.00 CS","11,601.00 CS","13,280.00 CS","50,622.00 CS"
Total Inventory Qty,21431,FP07,,,26.00 CS,"1,867.00 CS","1,472.00 CS","1,472.00 CS","1,472.00 CS","1,472.00 CS","1,470.00 CS","1,428.00 CS","1,229.00 CS","1,053.00 CS","12,961.00 CS"
Total Inventory Qty,21431,FP13,,,"9,609.00 CS","6,410.00 CS",51.00 CS,"10,309.00 CS","18,073.00 CS","17,967.00 CS","17,811.00 CS","17,402.00 CS","16,630.00 CS","16,185.00 CS","1,30,447.00 CS"
Total Inventory Qty,21431,FP14,,,220.00 CS,,,,,,,,,,220.00 CS
Total Inventory Qty,21432,FP07,,,9.00 CS,"1,548.00 CS","2,541.00 CS","2,397.00 CS","2,162.00 CS","1,852.00 CS","1,658.00 CS","1,391.00 CS","1,219.00 CS",999.00 CS,"15,776.00 CS"
Total Inventory Qty,21432,FP13,,,"3,710.00 CS","5,211.00 CS","8,440.00 CS","15,980.00 CS","15,046.00 CS","13,706.00 CS","11,772.00 CS","10,106.00 CS","8,772.00 CS","7,981.00 CS","1,00,724.00 CS"
Total Inventory Qty,21433,FP05,,,,900.00 CS,,13.00 CS,,,,,,902.00 CS,"1,815.00 CS"
Total Inventory Qty,21433,FP07,107.00 CS,107.00 CS,507.00 CS,127.00 CS,727.00 CS,187.00 CS,187.00 CS,187.00 CS,78.00 CS,236.00 CS,328.00 CS,328.00 CS,"3,106.00 CS"
Total Inventory Qty,21433,FP13,"16,110.00 CS","12,704.00 CS","9,042.00 CS","17,221.00 CS","8,709.00 CS","13,380.00 CS","9,190.00 CS","16,151.00 CS","5,431.00 CS","10,599.00 CS","15,517.00 CS","32,198.00 CS","1,66,252.00 CS"
Total Inventory Qty,21434,FP07,,,,,,,,,,144.00 CS,144.00 CS,144.00 CS,432.00 CS
Total Inventory Qty,21434,FP13,825.00 CS,36.00 CS,,,,,,,,,,,861.00 CS
Total Inventory Qty,21435,FP07,40.00 CS,40.00 CS,40.00 CS,40.00 CS,40.00 CS,40.00 CS,40.00 CS,40.00 CS,40.00 CS,176.00 CS,144.00 CS,144.00 CS,824.00 CS
Total Inventory Qty,21435,FP13,766.00 CS,8.00 CS,,,,,,,,,,,774.00 CS
Total Inventory Qty,21436,FP07,,,,,,,,,,288.00 CS,288.00 CS,288.00 CS,864.00 CS
Total Inventory Qty,21436,FP13,"1,069.00 CS",48.00 CS,,,,,,,,,,,"1,117.00 CS"
Total Inventory Qty,21437,FP07,,,,,,,,,,192.00 CS,192.00 CS,192.00 CS,576.00 CS
Total Inventory Qty,21437,FP13,"3,273.00 CS",646.00 CS,4.00 CS,,,,,,,,,,"3,923.00 CS"
Total Inventory Qty,21438,FP07,136.00 CS,136.00 CS,136.00 CS,136.00 CS,136.00 CS,136.00 CS,136.00 CS,136.00 CS,136.00 CS,20.00 CS,20.00 CS,20.00 CS,"1,284.00 CS"
Total Inventory Qty,21438,FP13,"19,194.00 CS","8,733.00 CS","12,253.00 CS","16,772.00 CS","10,525.00 CS","16,054.00 CS","7,623.00 CS","10,501.00 CS","3,578.00 CS","8,822.00 CS",5.00 CS,"7,785.00 CS","1,21,845.00 CS"
Total Inventory Qty,21439,FP05,,,,,"3,900.00 CS",,,,,,,,"3,900.00 CS"
Total Inventory Qty,21439,FP07,,,,,,,,,,20.00 CS,20.00 CS,20.00 CS,60.00 CS
Total Inventory Qty,21439,FP13,"20,237.00 CS","16,912.00 CS","12,020.00 CS","5,900.00 CS",68.00 CS,"12,993.00 CS","27,069.00 CS","20,568.00 CS","15,268.00 CS","20,580.00 CS","12,680.00 CS","6,620.00 CS","1,70,915.00 CS"
Total Inventory Qty,21440,FP05,,"4,012.00 CS",17.00 CS,,17.00 CS,,"7,336.00 CS",,,,"2,516.00 CS","2,380.00 CS","16,278.00 CS"
Total Inventory Qty,21440,FP07,,,,,,,68.00 CS,68.00 CS,68.00 CS,68.00 CS,68.00 CS,68.00 CS,408.00 CS
Total Inventory Qty,21440,FP13,"59,024.00 CS","36,666.00 CS","39,329.00 CS","15,356.00 CS","24,159.00 CS","12,184.00 CS","19,935.00 CS","31,406.00 CS","9,599.00 CS","3,848.00 CS","42,296.00 CS","22,003.00 CS","3,15,805.00 CS"
Total Inventory Qty,21441,FP05,,193.00 CS,,,,,,,,,,"2,778.00 CS","2,971.00 CS"
Total Inventory Qty,21441,FP13,"1,04,053.00 CS","91,148.00 CS","63,221.00 CS","37,653.00 CS","21,563.00 CS","30,008.00 CS","9,641.00 CS","28,203.00 CS","27,336.00 CS","47,742.00 CS","48,599.00 CS","63,060.00 CS","5,72,227.00 CS"
Total Inventory Qty,21442,FP05,,"2,880.00 CS","3,744.00 CS",,"2,448.00 CS",,"10,080.00 CS",,,,,,"19,152.00 CS"
Total Inventory Qty,21442,FP13,"49,747.00 CS","36,748.00 CS","48,322.00 CS","29,467.00 CS","14,306.00 CS","11,714.00 CS","37,586.00 CS","58,773.00 CS","19,498.00 CS",644.00 CS,667.00 CS,712.00 CS,"3,08,184.00 CS"
Total Inventory Qty,21443,FP05,"2,160.00 CS","1,200.00 CS",,"1,536.00 CS",,,,,,,,,"4,896.00 CS"
Total Inventory Qty,21443,FP07,,,,,,,96.00 CS,96.00 CS,190.00 CS,142.00 CS,142.00 CS,137.00 CS,803.00 CS
Total Inventory Qty,21443,FP13,"42,942.00 CS","33,836.00 CS","42,103.00 CS","50,600.00 CS","38,431.00 CS","44,573.00 CS","15,338.00 CS","29,449.00 CS","10,461.00 CS",205.00 CS,301.00 CS,301.00 CS,"3,08,540.00 CS"
Total Inventory Qty,21444,FP07,,,"3,980.00 CS","2,846.00 CS","3,006.00 CS","2,525.00 CS","3,556.00 CS","4,264.00 CS","3,852.00 CS","1,801.00 CS","3,253.00 CS","1,978.00 CS","31,061.00 CS"
Total Inventory Qty,21444,FP13,,"4,558.00 CS","15,961.00 CS","14,708.00 CS","15,397.00 CS","20,660.00 CS","25,870.00 CS","20,844.00 CS","17,620.00 CS","20,126.00 CS","18,010.00 CS","6,687.00 CS","1,80,441.00 CS"
Total Inventory Qty,21444,FP14,,,,,120.00 CS,,,,,,,,120.00 CS
Total Inventory Qty,21447,FP01,,,,,,,495.00 CS,,,,,,495.00 CS
Total Inventory Qty,21447,FP07,,,,,,744.00 CS,744.00 CS,"2,038.00 CS","2,262.00 CS","2,185.00 CS","1,780.00 CS","1,401.00 CS","11,154.00 CS"
Total Inventory Qty,21447,FP13,,,,,,"1,847.00 CS","8,348.00 CS","4,814.00 CS","5,558.00 CS","5,394.00 CS","4,768.00 CS","3,582.00 CS","34,311.00 CS"
Total Inventory Qty,21449,FP05,,,,,,,,,,,"12,528.00 CS","3,648.00 CS","16,176.00 CS"
Total Inventory Qty,21449,FP13,,,,,,,,,"55,585.00 CS","32,568.00 CS","37,803.00 CS","77,693.00 CS","2,03,649.00 CS"
Total Inventory Qty,21450,FP05,,,,,,,,,,,,"4,426.00 CS","4,426.00 CS"
Total Inventory Qty,21450,FP13,,,,,,,,,"37,232.00 CS","3,668.00 CS","56,224.00 CS","85,553.00 CS","1,82,677.00 CS"
Total Inventory Qty,21464,FP07,93.00 CS,93.00 CS,93.00 CS,93.00 CS,93.00 CS,93.00 CS,93.00 CS,93.00 CS,714.00 CS,,,,"1,458.00 CS"
Total Inventory Qty,21468,FP07,,,,,,,,,"2,547.00 CS","2,559.00 CS","1,015.00 CS",,"6,121.00 CS"
Total Inventory Qty,21486,FP13,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,,,,,,,,450.00 CS
Total Inventory Qty,21489,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,,,5.00 CS
Total Inventory Qty,21489,FP07,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,,,,90.00 CS
Total Inventory Qty,21489,FP13,631.00 CS,605.00 CS,539.00 CS,,,,,,,,,,"1,775.00 CS"
Total Inventory Qty,21494,FP07,,,,,,568.00 CS,44.00 CS,10.00 CS,10.00 CS,29.00 CS,29.00 CS,28.00 CS,718.00 CS
Total Inventory Qty,21494,FP13,,,,,"2,420.00 CS",80.00 CS,50.00 CS,10.00 CS,8.00 CS,6.00 CS,6.00 CS,6.00 CS,"2,586.00 CS"
Total Inventory Qty,21497,FP07,,,,,"2,029.00 CS",860.00 CS,70.00 CS,70.00 CS,48.00 CS,47.00 CS,43.00 CS,43.00 CS,"3,210.00 CS"
Total Inventory Qty,21497,FP13,,,,,,,19.00 CS,19.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,94.00 CS
Total Inventory Qty,21505,FP07,139.00 CS,139.00 CS,139.00 CS,139.00 CS,,,56.00 CS,56.00 CS,56.00 CS,,,,724.00 CS
Total Inventory Qty,21505,FP13,"2,799.00 CS","2,798.00 CS","2,770.00 CS","2,370.00 CS",,,,,,,,,"10,737.00 CS"
Total Inventory Qty,21506,FP03,,1.00 CS,1.00 CS,,,,,,,,,,2.00 CS
Total Inventory Qty,21506,FP07,95.00 CS,143.00 CS,120.00 CS,278.00 CS,192.00 CS,495.00 CS,297.00 CS,310.00 CS,"1,253.00 CS","1,209.00 CS",963.00 CS,369.00 CS,"5,724.00 CS"
Total Inventory Qty,21506,FP13,73.00 CS,183.00 CS,351.00 CS,110.00 CS,320.00 CS,800.00 CS,270.00 CS,"1,130.00 CS",327.00 CS,298.00 CS,262.00 CS,,"4,124.00 CS"
Total Inventory Qty,21511,FP07,489.00 CS,489.00 CS,382.00 CS,382.00 CS,,,,,,,,,"1,742.00 CS"
Total Inventory Qty,21511,FP13,313.00 CS,313.00 CS,313.00 CS,312.00 CS,,,,,,,,,"1,251.00 CS"
Total Inventory Qty,21513,FP07,48.00 CS,64.00 CS,64.00 CS,64.00 CS,64.00 CS,100.00 CS,36.00 CS,100.00 CS,100.00 CS,68.00 CS,68.00 CS,68.00 CS,844.00 CS
Total Inventory Qty,21513,FP13,239.00 CS,249.00 CS,189.00 CS,309.00 CS,316.00 CS,236.00 CS,148.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,38.00 CS,"2,044.00 CS"
Total Inventory Qty,21515,FP07,45.00 CS,48.00 CS,48.00 CS,48.00 CS,48.00 CS,48.00 CS,48.00 CS,41.00 CS,41.00 CS,41.00 CS,41.00 CS,41.00 CS,538.00 CS
Total Inventory Qty,21515,FP13,60.00 CS,139.00 CS,139.00 CS,134.00 CS,134.00 CS,133.00 CS,126.00 CS,126.00 CS,126.00 CS,126.00 CS,126.00 CS,126.00 CS,"1,495.00 CS"
Total Inventory Qty,21517,FP07,89.00 CS,89.00 CS,87.00 CS,87.00 CS,87.00 CS,87.00 CS,87.00 CS,87.00 CS,87.00 CS,87.00 CS,87.00 CS,87.00 CS,"1,048.00 CS"
Total Inventory Qty,21518,FP07,261.00 CS,261.00 CS,261.00 CS,260.00 CS,237.00 CS,237.00 CS,237.00 CS,237.00 CS,237.00 CS,"2,470.00 CS","4,310.00 CS","2,097.00 CS","11,105.00 CS"
Total Inventory Qty,21597,FP01,,,,,,,,,,,,"1,225.00 CS","1,225.00 CS"
Total Inventory Qty,21597,FP13,152.00 CS,,,,,,"13,574.00 CS",,,,"10,026.00 CS","10,590.00 CS","34,342.00 CS"
Total Inventory Qty,21603,FP07,,,,96.00 CS,,,16.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,182.00 CS
Total Inventory Qty,21603,FP13,89.00 CS,5.00 CS,5.00 CS,1.00 CS,100.00 CS,100.00 CS,100.00 CS,98.00 CS,98.00 CS,98.00 CS,98.00 CS,,792.00 CS
Total Inventory Qty,21604,FP07,34.00 CS,34.00 CS,34.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,7.00 CS,45.00 CS,45.00 CS,45.00 CS,254.00 CS
Total Inventory Qty,21604,FP13,554.00 CS,147.00 CS,120.00 CS,,,,,,,,,,821.00 CS
Total Inventory Qty,21605,FP07,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,,,,,,70.00 CS
Total Inventory Qty,21608,FP03,1.00 CS,,,,,,4.00 CS,1.00 CS,,,1.00 CS,,7.00 CS
Total Inventory Qty,21608,FP07,78.00 CS,518.00 CS,48.00 CS,286.00 CS,356.00 CS,206.00 CS,396.00 CS,375.00 CS,"2,738.00 CS","2,791.00 CS","2,773.00 CS","2,654.00 CS","13,219.00 CS"
Total Inventory Qty,21608,FP13,889.00 CS,488.00 CS,995.00 CS,"1,560.00 CS",580.00 CS,"1,140.00 CS",534.00 CS,"2,393.00 CS","4,661.00 CS","4,321.00 CS","3,835.00 CS","3,013.00 CS","24,409.00 CS"
Total Inventory Qty,21611,FP07,111.00 CS,111.00 CS,111.00 CS,111.00 CS,111.00 CS,111.00 CS,111.00 CS,,,,,,777.00 CS
Total Inventory Qty,21613,FP07,264.00 CS,246.00 CS,246.00 CS,242.00 CS,239.00 CS,238.00 CS,118.00 CS,"5,770.00 CS","5,733.00 CS","1,422.00 CS",352.00 CS,412.00 CS,"15,282.00 CS"
Total Inventory Qty,21613,FP13,,,,,,,"5,798.00 CS","11,379.00 CS",,120.00 CS,174.00 CS,174.00 CS,"17,645.00 CS"
Total Inventory Qty,21613,FP14,,,,,,,1.00 CS,106.00 CS,,,,,107.00 CS
Total Inventory Qty,21619,FP13,,2.00 CS,2.00 CS,,,,915.00 CS,,,,187.00 CS,364.00 CS,"1,470.00 CS"
Total Inventory Qty,22001,FP03,4.92 CS,"4,770.92 CS",0.92 CS,0.92 CS,0.92 CS,0.83 CS,5.00 CS,,,45.00 CS,42.67 CS,42.67 CS,"4,914.75 CS"
Total Inventory Qty,22001,FP07,"4,345.00 CS","32,762.00 CS","29,302.00 CS","11,501.00 CS","21,905.00 CS","20,315.00 CS","30,553.00 CS","17,426.00 CS","29,862.00 CS","30,682.00 CS","30,900.00 CS","28,679.00 CS","2,88,232.00 CS"
Total Inventory Qty,22001,FP13,"41,057.00 CS","57,890.00 CS","1,12,168.00 CS","70,632.00 CS","67,398.00 CS","1,23,029.00 CS","80,090.00 CS","63,524.00 CS","64,497.00 CS","39,792.00 CS","1,11,411.00 CS","1,31,135.00 CS","9,62,623.00 CS"
Total Inventory Qty,22001,FP14,600.00 CS,,"1,200.00 CS",,398.00 CS,200.00 CS,,,,,200.00 CS,,"2,598.00 CS"
Total Inventory Qty,22003,FP13,543.00 CS,397.00 CS,539.00 CS,539.00 CS,,,,,,,,,"2,018.00 CS"
Total Inventory Qty,22017,FP01,,,,,,,,"1,200.00 CS",,,,,"1,200.00 CS"
Total Inventory Qty,22017,FP03,0.92 CS,0.92 CS,0.92 CS,,,,,,0.92 CS,,,,3.67 CS
Total Inventory Qty,22017,FP07,"1,615.00 CS",860.00 CS,"1,247.00 CS",721.00 CS,"1,883.00 CS","1,260.00 CS","1,260.00 CS","1,105.00 CS",799.00 CS,792.00 CS,"1,047.00 CS","2,839.00 CS","15,428.00 CS"
Total Inventory Qty,22017,FP13,"18,336.00 CS","15,065.00 CS","22,067.00 CS","20,690.00 CS","10,781.00 CS","6,839.00 CS","23,838.00 CS","9,241.00 CS","13,364.00 CS","16,001.00 CS","16,095.00 CS","10,349.00 CS","1,82,666.00 CS"
Total Inventory Qty,22093,FP03,0.33 CS,1.00 CS,1.00 CS,2.00 CS,2.00 CS,9.92 CS,0.50 CS,1.08 CS,1.08 CS,0.42 CS,0.25 CS,2.00 CS,21.58 CS
Total Inventory Qty,22093,FP07,"8,044.00 CS","7,641.00 CS","7,158.00 CS","6,398.00 CS","6,181.00 CS","5,848.00 CS","5,256.00 CS","4,732.00 CS","4,076.00 CS","3,668.00 CS","3,260.00 CS","1,990.00 CS","64,252.00 CS"
Total Inventory Qty,22093,FP13,"2,209.00 CS","2,129.00 CS","1,957.00 CS","1,850.00 CS","1,478.00 CS","1,283.00 CS","1,149.00 CS",896.00 CS,726.00 CS,447.00 CS,206.00 CS,495.00 CS,"14,825.00 CS"
Total Inventory Qty,22097,FP03,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,,,,18.00 CS
Total Inventory Qty,22097,FP07,"15,379.00 CS","8,499.00 CS","9,645.00 CS","18,045.00 CS","20,052.00 CS","16,185.00 CS","11,725.00 CS","3,085.00 CS","2,015.00 CS","11,572.00 CS","4,870.00 CS","9,210.00 CS","1,30,282.00 CS"
Total Inventory Qty,22097,FP13,"1,359.00 CS","3,733.00 CS","5,100.00 CS","2,540.00 CS","7,060.00 CS","5,960.00 CS","5,320.00 CS","9,435.00 CS","9,348.00 CS","3,428.00 CS","6,808.00 CS","5,168.00 CS","65,259.00 CS"
Total Inventory Qty,22469,FM01,,,,191.00 CS,,130.00 CS,130.00 CS,130.00 CS,130.00 CS,,,,711.00 CS
Total Inventory Qty,22469,FP07,62.00 CS,62.00 CS,62.00 CS,"29,190.00 CS","73,017.00 CS","12,079.00 CS",574.00 CS,567.00 CS,567.00 CS,561.00 CS,561.00 CS,563.00 CS,"1,17,865.00 CS"
Total Inventory Qty,22479,FP07,"4,231.00 CS","4,231.00 CS","4,393.00 CS","4,367.00 CS","4,356.00 CS","2,529.00 CS","2,529.00 CS","2,529.00 CS","21,341.92 CS","35,112.92 CS","24,288.00 CS","13,391.00 CS","1,23,298.83 CS"
Total Inventory Qty,22479,FP13,162.00 CS,226.00 CS,224.00 CS,,,,,,,,,,612.00 CS
Total Inventory Qty,22483,FP07,251.00 CS,251.00 CS,248.00 CS,243.00 CS,242.00 CS,239.00 CS,239.00 CS,239.00 CS,"2,415.00 CS","2,075.00 CS",610.00 CS,120.00 CS,"7,172.00 CS"
Total Inventory Qty,22505,FM01,,,,28.00 CS,605.00 CS,,,,,,,,633.00 CS
Total Inventory Qty,22505,FP07,2.00 CS,2.00 CS,2.00 CS,"4,607.00 CS","20,003.00 CS","4,790.00 CS",214.00 CS,202.00 CS,169.00 CS,169.00 CS,169.00 CS,169.00 CS,"30,498.00 CS"
Total Inventory Qty,22505,FP13,309.00 CS,309.00 CS,,,,,,,,,,,618.00 CS
Total Inventory Qty,22629,FM01,,,,,679.00 CS,,,,,,,,679.00 CS
Total Inventory Qty,22629,FP07,2.00 CS,2.00 CS,2.00 CS,"1,389.00 CS","20,814.00 CS","3,216.00 CS",337.00 CS,333.00 CS,328.00 CS,328.00 CS,328.00 CS,329.00 CS,"27,408.00 CS"
Total Inventory Qty,22629,FP13,64.00 CS,64.00 CS,,,,,,,,,,,128.00 CS
Total Inventory Qty,22633,FM01,,,,,392.00 CS,,,,,,,,392.00 CS
Total Inventory Qty,22633,FP07,2.00 CS,2.00 CS,2.00 CS,827.00 CS,"7,579.00 CS","1,520.00 CS",257.00 CS,257.00 CS,255.00 CS,223.00 CS,223.00 CS,223.00 CS,"11,370.00 CS"
Total Inventory Qty,22657,FM01,,,,64.00 CS,32.00 CS,,,,,,,,96.00 CS
Total Inventory Qty,22657,FP07,49.00 CS,49.00 CS,49.00 CS,"3,505.00 CS","12,659.00 CS","5,150.00 CS",264.00 CS,264.00 CS,261.00 CS,259.00 CS,259.00 CS,262.00 CS,"23,030.00 CS"
Total Inventory Qty,23002,FP03,0.67 CS,0.67 CS,0.67 CS,,,,,,,,,,2.00 CS
Total Inventory Qty,23002,FP07,"5,544.00 CS","5,065.00 CS","2,670.00 CS","2,135.00 CS","2,135.00 CS","2,015.00 CS","1,855.00 CS","1,135.00 CS","1,135.00 CS","1,135.00 CS","1,135.00 CS","1,135.00 CS","27,094.00 CS"
Total Inventory Qty,23002,FP13,"1,301.00 CS",236.00 CS,514.00 CS,891.00 CS,684.00 CS,545.00 CS,526.00 CS,571.00 CS,503.00 CS,503.00 CS,503.00 CS,503.00 CS,"7,280.00 CS"
Total Inventory Qty,23003,FP03,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,6.00 CS
Total Inventory Qty,23003,FP07,255.00 CS,181.00 CS,111.00 CS,332.00 CS,292.00 CS,245.00 CS,185.00 CS,123.00 CS,183.00 CS,123.00 CS,63.00 CS,43.00 CS,"2,136.00 CS"
Total Inventory Qty,23003,FP13,"1,387.00 CS",817.00 CS,"2,943.00 CS","2,284.00 CS","1,768.00 CS","1,537.00 CS","1,044.00 CS",843.00 CS,617.00 CS,396.00 CS,266.00 CS,85.00 CS,"13,987.00 CS"
Total Inventory Qty,23005,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,12.00 CS
Total Inventory Qty,23005,FP07,171.00 CS,106.00 CS,79.00 CS,49.00 CS,143.00 CS,94.00 CS,90.00 CS,83.00 CS,53.00 CS,50.00 CS,34.00 CS,34.00 CS,986.00 CS
Total Inventory Qty,23005,FP13,286.00 CS,915.00 CS,804.00 CS,673.00 CS,397.00 CS,268.00 CS,139.00 CS,590.00 CS,525.00 CS,438.00 CS,413.00 CS,400.00 CS,"5,848.00 CS"
Total Inventory Qty,23006,FP07,303.00 CS,262.00 CS,384.00 CS,263.00 CS,283.00 CS,292.00 CS,260.00 CS,200.00 CS,151.00 CS,151.00 CS,151.00 CS,151.00 CS,"2,851.00 CS"
Total Inventory Qty,23006,FP13,353.00 CS,"1,281.00 CS",599.00 CS,269.00 CS,"1,214.00 CS","2,180.00 CS","1,986.00 CS","1,677.00 CS","1,582.00 CS","1,483.00 CS","1,482.00 CS","1,470.00 CS","15,576.00 CS"
Total Inventory Qty,23007,FP03,2.25 CS,2.25 CS,2.25 CS,2.33 CS,2.33 CS,2.33 CS,2.33 CS,2.33 CS,2.33 CS,2.33 CS,2.33 CS,2.33 CS,27.75 CS
Total Inventory Qty,23007,FP07,853.00 CS,701.00 CS,622.00 CS,540.00 CS,444.00 CS,374.00 CS,254.00 CS,214.00 CS,134.00 CS,114.00 CS,114.00 CS,114.00 CS,"4,478.00 CS"
Total Inventory Qty,23007,FP13,"2,184.00 CS","1,736.00 CS","1,499.00 CS","1,189.00 CS","1,005.00 CS",677.00 CS,555.00 CS,"1,411.00 CS","1,203.00 CS","1,065.00 CS",920.00 CS,857.00 CS,"14,301.00 CS"
Total Inventory Qty,23009,FP03,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,4.00 CS
Total Inventory Qty,23009,FP07,85.00 CS,127.00 CS,244.00 CS,478.00 CS,422.00 CS,43.00 CS,100.00 CS,195.00 CS,149.00 CS,149.00 CS,149.00 CS,149.00 CS,"2,290.00 CS"
Total Inventory Qty,23009,FP13,"1,156.00 CS",805.00 CS,"1,765.00 CS","1,280.00 CS",996.00 CS,855.00 CS,630.00 CS,323.00 CS,277.00 CS,277.00 CS,277.00 CS,277.00 CS,"8,918.00 CS"
Total Inventory Qty,23012,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,12.00 CS
Total Inventory Qty,23013,FP03,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,0.17 CS,1.99 CS
Total Inventory Qty,23013,FP07,278.00 CS,300.00 CS,89.00 CS,240.00 CS,141.00 CS,270.00 CS,389.00 CS,389.00 CS,389.00 CS,389.00 CS,389.00 CS,389.00 CS,"3,652.00 CS"
Total Inventory Qty,23013,FP13,"1,093.00 CS","1,517.00 CS",875.00 CS,,870.00 CS,616.00 CS,976.00 CS,709.00 CS,508.00 CS,192.00 CS,50.00 CS,,"7,406.00 CS"
Total Inventory Qty,23015,FP03,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,0.33 CS,4.00 CS
Total Inventory Qty,23015,FP07,"2,056.00 CS","1,716.00 CS","1,404.00 CS",989.00 CS,"1,064.00 CS","1,495.00 CS","1,334.00 CS","1,189.00 CS","1,670.00 CS","1,609.00 CS","1,549.00 CS","1,469.00 CS","17,544.00 CS"
Total Inventory Qty,23015,FP13,"2,715.00 CS","1,749.00 CS","1,132.00 CS",619.00 CS,"1,393.00 CS","2,215.00 CS","1,627.00 CS","1,153.00 CS","1,272.00 CS",845.00 CS,699.00 CS,698.00 CS,"16,117.00 CS"
Total Inventory Qty,23016,FP03,2.42 CS,2.42 CS,2.33 CS,2.42 CS,2.42 CS,2.42 CS,2.42 CS,2.42 CS,2.42 CS,2.42 CS,2.42 CS,2.42 CS,28.91 CS
Total Inventory Qty,23016,FP07,"3,853.00 CS","2,896.00 CS","2,484.00 CS","1,954.00 CS","1,600.00 CS","1,123.00 CS",844.00 CS,984.00 CS,844.00 CS,664.00 CS,464.00 CS,364.00 CS,"18,074.00 CS"
Total Inventory Qty,23016,FP13,"3,142.00 CS","4,739.00 CS","3,707.00 CS","3,113.00 CS","2,014.00 CS","1,208.00 CS",510.00 CS,"4,010.00 CS","3,463.00 CS","2,954.00 CS","2,819.00 CS","2,669.00 CS","34,348.00 CS"
Total Inventory Qty,23017,FP03,1.00 CS,1.00 CS,1.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,1.83 CS,1.83 CS,1.83 CS,20.50 CS
Total Inventory Qty,23017,FP07,"2,760.00 CS","1,801.00 CS","1,146.00 CS","2,134.00 CS","3,708.00 CS","2,977.00 CS","2,629.00 CS","2,229.00 CS","1,907.00 CS","1,667.00 CS","1,376.00 CS","1,334.00 CS","25,668.00 CS"
