,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,00828,FP13,"5,587.00 CS","6,660.00 CS","4,513.00 CS","4,313.00 CS","4,337.00 CS",477.00 CS,277.00 CS,287.00 CS,,391.00 CS,"3,672.00 CS","2,560.00 CS","33,074.00 CS"
Total Inventory Qty,00828,FP14,,,,,,,,,181.00 CS,,,"1,150.00 CS","1,331.00 CS"
Total Inventory Qty,00830,FM01,,"2,000.00 CS",,"1,150.00 CS",150.00 CS,,700.00 CS,810.00 CS,383.00 CS,,237.00 CS,,"5,430.00 CS"
Total Inventory Qty,00830,FP01,,"2,001.93 CS",,29.18 CS,"1,065.85 CS","1,800.00 CS","1,080.00 CS",581.84 CS,10.00 CS,800.00 CS,74.98 CS,547.98 CS,"7,991.76 CS"
Total Inventory Qty,00830,FP03,0.69 CS,0.69 CS,0.69 CS,0.69 CS,0.69 CS,0.69 CS,,,,,,,4.16 CS
Total Inventory Qty,00830,FP07,"4,149.00 CS","2,446.00 CS","6,148.00 CS","10,102.00 CS","11,538.00 CS","9,388.00 CS","12,607.00 CS","9,672.00 CS","16,954.00 CS","20,482.00 CS","14,889.00 CS","7,443.00 CS","1,25,818.00 CS"
Total Inventory Qty,00830,FP13,"2,054.00 CS",12.00 CS,"4,403.00 CS",600.00 CS,"1,644.00 CS","4,044.00 CS","3,589.00 CS","6,537.00 CS","1,972.00 CS","2,190.00 CS","6,344.00 CS","4,894.00 CS","38,283.00 CS"
Total Inventory Qty,00830,FP14,,16.00 CS,,,,,,,,,,,16.00 CS
Total Inventory Qty,00832,FP01,,,,,,,,"1,011.00 CS",,,,,"1,011.00 CS"
Total Inventory Qty,00832,FP03,1.83 CS,1.83 CS,1.83 CS,1.83 CS,1.83 CS,1.83 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,17.00 CS
Total Inventory Qty,00832,FP07,389.00 CS,257.00 CS,527.00 CS,227.00 CS,325.00 CS,429.00 CS,418.00 CS,106.00 CS,202.00 CS,846.00 CS,534.00 CS,464.00 CS,"4,724.00 CS"
